,iata,airport,state,capital,country,latitude,longitude
0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
1,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
2,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
3,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
4,BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
5,BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
6,BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
7,BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
8,BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667
9,BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
10,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
11,CHS,Charleston AFB International,Charleston,SC,USA,32.89864639,-80.04050583
12,CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
13,CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
14,CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
15,CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
16,DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
17,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
18,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
19,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
20,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
21,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
22,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
23,FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
24,HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
25,HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889
26,IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
27,IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
28,IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
29,JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111
30,JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
31,LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
32,LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
33,LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
34,LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556
35,MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
36,MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
37,MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
38,MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667
39,MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
40,MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333
41,MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
42,MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
43,OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
44,OGG,Kahului,Kahului,HI,USA,20.89864972,-156.4304578
45,OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389
46,OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306
47,ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944
48,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
49,ORF,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222
50,PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417
51,PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
52,PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
53,PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
54,PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
55,PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111
56,RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
57,RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667
58,RNO,Reno Tahoe International,Reno,NV,USA,39.49857611,-119.7680647
59,RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
60,SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
61,SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
62,SDF,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736
63,SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131
64,SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
65,SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089
66,SJU,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333
67,SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
68,SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
69,SNA,John Wayne  Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225
70,STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
71,TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325
72,TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167
73,TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278
74,ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167
75,ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722
76,ABR,Aberdeen Regional,Aberdeen,SD,USA,45.44905556,-98.42183333
77,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
79,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
80,ACV,Arcata,Arcata Eureka,CA,USA,40.97811528,-124.1086189
81,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
82,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
83,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
84,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
85,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
87,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
89,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
92,ASE,Aspen-Pitkin Co Sardy ,Aspen,CO,USA,39.22316,-106.868845
93,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
94,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
95,AVP,Wilkes-Barre Scranton Intl,Wilkes-Barre Scranton,PA,USA,41.33814944,-75.7242675
96,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
97,BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975
98,BFL,Meadows ,Bakersfield,CA,USA,35.43359806,-119.0567681
99,BGM,Binghamton Regional,Binghamton,NY,USA,42.20848278,-75.97961361
